,T1001,T1003,T1005,T1007,T1008,T1010,T1012,T1014,T1016,T1018,T1021,T1025,T1027,T1029,T1030,T1033,T1036,T1037,T1039,T1040,T1041,T1046,T1047,T1048,T1049,T1052,T1053,T1055,T1056,T1057,T1059,T1068,T1069,T1070,T1071,T1074,T1078,T1080,T1082,T1083,T1087,T1090,T1091,T1092,T1095,T1102,T1104,T1105,T1106,T1110,T1112,T1113,T1114,T1115,T1119,T1120,T1123,T1124,T1125,T1129,T1132,T1133,T1134,T1135,T1136,T1137,T1140,T1176,T1185,T1189,T1190,T1195,T1197,T1201,T1203,T1204,T1210,T1217,T1218,T1219,T1221,T1222,T1480,T1482,T1484,T1485,T1486,T1497,T1505,T1518,T1542,T1543,T1546,T1547,T1548,T1550,T1552,T1553,T1554,T1555,T1556,T1557,T1558,T1559,T1560,T1562,T1564,T1565,T1566,T1567,T1568,T1569,T1570,T1571,T1572,T1573,T1574,T1583,T1584,T1585,T1587,T1588,T1589,T1598
T1001,1.033642314,1.569769591,1.380310841,0.744682396,1.095476455,1.010147783,0.618109764,0.702490422,0.896845144,0.979232878,1.289025334,0.853890362,1.190381655,0.818691222,0.655835543,1.199655667,1.077073549,0.375,0.562334217,0.87081643,1.563917432,0.934509489,1.19037922,0.986461096,1.021532748,0.385579937,0.713362069,0.825232087,1.039091202,0.786279033,2.860469742,0.435935286,0.875172414,1.915682942,3.797156002,0.978693626,0.984836823,0.79153605,1.029568521,1.200270281,1.129952881,0.970162562,0.948838925,0.75,1.155669199,0.967120501,0.895114943,2.980966654,1.245096983,0.831774343,0.561344443,1.085711929,0.88953202,0.957065886,0.776393316,0.907471264,0.763809708,0.672848975,0.911238825,0.804597701,1.219073204,1.213499883,0.939482759,1.00658549,0.783699059,0.916666667,1.331478925,0.857142857,0.542319749,0.815003076,0.687021073,0.909090909,0.9,0.75,0.812635912,1.67130039,0.459986988,0.465517241,2.044460529,0.922608245,0.699127709,0.872050817,0.833333333,0.842672414,0.833333333,1.085632184,0.844244422,0.803612925,0.93330113,0.903166461,0.639745917,1.204708125,0.759493841,0.87035259,0.773103183,1.79378763,1.055168054,0.909778325,0.8,1.137357161,0.662068965,0.818965517,0.923076923,0.788497527,1.213345275,0.855645894,1.009884343,0.798491379,2.037922297,0.913793103,0.952586207,0.857299083,0.734170706,1.829412741,0.897783252,2.870803295,1.068671257,1.282082488,0.875,0.685344828,0.875,0.763044464,0.880172414,0.756676173
T1003,0.9391789,2.263090963,1.971334639,0.649303467,0.852050763,0.82577658,0.735265677,0.701495181,0.788568099,0.944740235,1.379291668,0.998473352,1.345416302,0.706422484,0.564217033,1.153213864,1.349988131,0.392299107,0.362637363,0.752249468,1.260218159,0.824099068,1.194047661,0.881424565,0.854618224,0.323051948,0.889701894,0.932223602,1.214884804,0.833309591,2.897825291,0.51801786,0.894411302,2.758911451,2.531520916,1.246801003,1.262740236,0.743673815,1.224797999,1.59682014,1.245935004,0.733596982,1.104613813,0.739285714,1.057114104,0.824981961,0.77405754,3.901394901,1.66790179,0.961508075,0.630209478,1.156422723,0.787765731,1.045725712,0.908924195,1.114619521,0.839158402,0.805089572,1.001157407,0.968253968,0.819907097,1.173638443,0.872670368,0.761298695,0.757045564,0.903571429,1.5436156,0.849489796,0.598214285,0.792369624,0.733850273,0.900974026,0.891964286,0.743303571,1.089708012,1.836849365,0.470076454,0.113839286,2.480984396,0.884352623,0.863595191,1.102417502,0.825892857,0.717075893,0.825892857,1.475781044,1.093541311,0.933929756,0.801626189,0.966186817,0.783656152,1.328211919,0.852694986,1.166064171,0.801961523,1.943346089,1.369658434,0.903515448,0.792857143,1.521869131,0.685629252,0.941385582,0.914835165,0.871256864,1.513715961,0.917484128,1.24481921,0.89640997,1.229966433,1.076318027,0.605267857,0.882266033,0.682114866,2.048232121,0.688647959,1.958548517,1.212008139,1.054837768,0.8671875,0.444196429,0.8671875,0.595551378,0.719345238,0.541017723
T1005,0.901124975,2.114791509,2.125541126,0.721504519,0.83747378,0.829983766,0.728131937,0.753502285,0.795397204,1.05130001,1.400998134,0.946605478,1.286306431,0.68288137,0.526005244,1.243084814,1.328787187,0.383522727,0.318181818,0.73185439,1.245134805,0.833744421,1.235549391,0.850372718,0.859812693,0.367768595,1.20497432,0.892460347,1.197020075,0.950581226,2.919217265,0.525787783,0.932973098,2.747825934,2.511101335,1.191535562,1.218470982,0.718709221,1.50280856,1.579528759,1.250143516,0.727936466,1.109525364,0.741477273,1.019814458,0.78702051,0.769860059,3.883736018,1.622443182,0.91371038,0.630629604,1.171633047,0.759726732,1.03274655,0.934453185,1.099289773,0.87305286,0.963448106,0.982954545,0.93560606,0.816777793,1.108133632,0.870170455,0.789370694,0.842378738,0.90625,1.479059103,0.847402597,0.533057851,0.781094719,0.705838433,0.89876033,0.889772727,0.741477273,1.033392199,1.731096578,0.479148298,0.09375,2.41625778,0.960235817,0.817081387,1.068879585,0.823863636,0.7109375,0.823863636,1.362094156,1.073936748,0.93282198,0.801948635,1.023202932,0.814281257,1.347672632,0.830294819,1.100491534,0.780540638,1.93583153,1.296556749,0.884460678,0.790909091,1.438614245,0.705275974,0.914457071,0.912587413,0.878581338,1.448947265,0.928009864,1.226368107,0.871377841,1.165959004,1.056006493,0.600208333,0.907520294,0.674706813,1.86885711,0.684618507,1.902478464,1.155478616,1.043066696,0.865056818,0.433238636,0.865056818,0.572439028,0.700931187,0.503503076
T1007,0.703575876,0.842252201,0.910461425,0.720990253,0.805217045,0.874857143,0.538272283,0.628906525,0.684481223,0.83686636,0.959104252,0.546296297,0.920512523,0.550075757,0.38034188,1.066847162,0.762466179,0.366666667,0.225641026,0.60992647,0.843860414,0.78957795,1.070711647,0.70014245,0.791934413,0.234343434,1.012864169,0.669279436,0.788190217,0.846098889,2.087212793,0.370879539,0.877342404,1.080982848,2.022843126,0.583777025,0.615178571,0.535061138,1.039306593,0.727025809,0.8215781,0.803370989,0.805824574,0.733333333,0.760568738,0.652833527,0.802777778,1.407450398,0.830833333,0.543252448,0.498671954,0.850898458,0.59058201,0.813422619,0.583144647,0.654907407,0.708890673,0.719161024,0.757613169,0.548148148,0.753487693,0.89164777,0.883111111,0.667031821,0.839502164,0.896296297,0.925146591,0.838095238,0.155555556,0.698418767,0.533653846,0.888888889,0.88,0.733333333,0.511555305,0.843041047,0.377865946,0.233333333,1.675878728,0.837994987,0.419543259,0.5417154,0.814814814,0.75,0.814814814,0.653280424,0.56756536,0.645466128,0.836015326,0.86613985,0.502771421,1.01402437,0.53305275,0.567486088,0.66349862,1.499029983,0.670256434,0.765201058,0.782222222,0.711515545,0.491111111,0.616049382,0.902564102,0.682118077,0.709350649,0.710863166,0.743356338,0.624861111,0.936472998,0.682539683,0.71562963,0.776495726,0.482608696,1.040112558,0.747460318,1.545497086,0.806862285,0.951198257,0.855555556,0.522222222,0.855555556,0.521710526,0.630555555,0.409690894
T1008,0.969126951,1.141757345,1.031336985,0.77287498,1.142582098,1.040733591,0.554205854,0.672858573,0.894471138,0.928675219,1.185440345,0.68988219,1.063706698,0.789025389,0.632536382,1.145405319,0.883471919,0.375,0.59043659,0.868629659,1.513487948,0.957573853,1.160430537,0.945267383,1.042710326,0.378050778,0.675673045,0.737227297,0.896236423,0.764606891,2.700616052,0.374896423,0.856756757,1.396443228,3.878237268,0.749941682,0.778655888,0.767349886,0.932223944,0.907703669,1.014666219,1.058209128,0.82879332,0.75,1.115976485,0.960328868,0.930805806,2.330248909,0.964752252,0.675944911,0.514921196,0.981594034,0.844047619,0.87266731,0.658052748,0.734572072,0.699062225,0.612579948,0.816816817,0.634384384,1.284984957,1.140578745,0.962297297,1.013144936,0.80708808,0.916666667,1.129762783,0.857142857,0.375921376,0.787216699,0.617290367,0.909090909,0.9,0.75,0.612916971,1.405225739,0.42427333,0.608108108,1.79372476,0.929506198,0.50493181,0.654970761,0.833333333,0.890202703,0.833333333,0.806821107,0.628969595,0.678125657,0.97573366,0.863898609,0.501618323,1.092578627,0.644262692,0.673632075,0.725648036,1.673637924,0.832810687,0.86479837,0.8,0.862060016,0.605083655,0.686436436,0.923076923,0.702336866,0.94970165,0.779949253,0.828554642,0.68536036,1.850072248,0.768983269,1.061936937,0.814929302,0.698100274,1.522103663,0.952220078,2.991455698,0.934800376,1.249620209,0.875,0.780405405,0.875,0.770102339,0.859271772,0.720890063
T1010,0.64958516,0.646348483,0.612418202,0.631451356,0.769351784,0.875324675,0.492590743,0.537806638,0.623622497,0.661159405,0.838552651,0.484848485,0.882552054,0.499586777,0.318181818,0.936085653,0.623616114,0.375,0.13986014,0.565842246,0.678415116,0.752995067,0.996748986,0.656614219,0.738471638,0.095041322,0.650646358,0.61524763,0.725340391,0.72516225,1.849199773,0.316936488,0.847346939,0.800049439,1.840754438,0.484567901,0.518668831,0.481404959,0.679965849,0.580456233,0.7060559,0.787606566,0.733543202,0.75,0.69459168,0.600141095,0.802714647,1.016118119,0.7109375,0.486868687,0.47763366,0.784922792,0.540909091,0.8,0.480252897,0.586174242,0.650882825,0.525265907,0.740740741,0.5,0.691346395,0.851576995,0.892272727,0.581854765,0.76293782,0.916666667,0.842359768,0.857142857,0.078512397,0.686549007,0.504662005,0.909090909,0.9,0.75,0.432432432,0.692394026,0.326758147,0.170454545,1.559697424,0.740943267,0.371900827,0.473684211,0.833333333,0.744318182,0.833333333,0.566666667,0.461488971,0.583817557,0.836402821,0.775102262,0.401601831,0.916744149,0.467912218,0.494771956,0.659869591,1.461760462,0.583017278,0.751255411,0.8,0.617637691,0.402272727,0.583333333,0.923076923,0.638580931,0.605745769,0.64992317,0.656968756,0.6,0.797579793,0.642857143,0.687272727,0.723423506,0.40536814,0.904980787,0.735064935,1.410969531,0.764762371,0.912834225,0.875,0.488636364,0.875,0.476176236,0.59469697,0.340396445
T1011,0.946806618,2.695705224,3.098781838,0.843859649,0.817876344,0.8,0.814285714,0.915873016,0.872012587,1.339573733,1.634220244,1.083333333,1.412077597,0.711363636,0.538461538,1.422838032,1.746768623,0.375,0.307692308,0.759803922,1.351537646,0.879844961,1.383811399,0.883012821,0.894797595,0.545454545,1.711610852,1.195737821,1.402899593,1.192604806,3.331487463,0.630626223,1.020816327,3.727744265,2.494345879,1.438380859,1.473214286,0.767942584,2.142986599,2.023099526,1.519565217,0.679489889,1.29588964,0.75,1.079830508,0.803920257,0.75,5.103579656,2.0328125,1.038314176,0.691643123,1.379665072,0.803571429,1.127678571,1.164740896,1.3125,1.026083467,1.334960257,1.074074074,1.083333333,0.792755965,1.149659864,0.865,0.9379611,0.968073593,0.916666667,1.690484168,0.857142857,0.636363636,0.81011045,0.761752137,0.909090909,0.9,0.75,1.245720721,2.026590693,0.575207194,0,2.752623688,1.120300752,0.95256917,1.280701754,0.833333333,0.6875,0.833333333,1.60952381,1.325551471,1.101157533,0.78125,1.194995409,1.035469108,1.545699084,1.056815319,1.292726079,0.916701416,2.146825397,1.535749403,0.922380952,0.8,1.726034063,0.864285714,1.027777778,0.923076923,1.007023369,1.727272727,1.093281676,1.465424431,0.9625,1.145582828,1.214285714,0.525,1.023616734,0.761375126,2.105939005,0.642857143,1.901865885,1.276719138,1.058823529,0.875,0.375,0.875,0.5625,0.7,0.5
T1012,0.676324152,1.082658633,0.970671835,0.611361274,0.698504704,0.806706349,1.615551019,0.577237654,0.619503223,0.706160528,0.93853028,0.623620015,1.007087985,0.503519571,0.33974359,0.960290364,0.87332337,0.924138753,0.123931624,0.559176709,0.66943929,0.730263908,1.036419797,0.657785791,0.712534835,0.137626263,0.785256754,0.692426133,0.86520063,0.766891863,2.002172094,0.37231939,0.871763983,1.383848107,1.511230286,0.693029456,0.716827877,0.509120813,0.835891669,0.872639781,0.827072098,0.695433292,0.845740271,0.739583333,0.717387006,0.591859186,0.752314815,1.68109746,0.974544271,0.618843125,1.145969955,0.85798445,0.556547619,0.863845486,0.600470744,0.739988426,0.714012618,0.626439698,0.813014404,0.641203704,0.584554228,0.883730159,0.868663194,0.538763833,0.756869288,0.903935186,1.007208152,0.845238095,0.200757576,0.69565987,0.561008725,0.896464646,0.8875,0.739583333,0.611378566,0.890802513,0.362286682,0.041666667,2.069628895,0.744515803,0.524621212,0.668212609,0.821759259,0.691840278,0.821759259,0.819808201,0.658768212,0.695544369,0.783689535,0.85035157,0.534775193,1.118416661,0.670541625,1.493320809,0.733962239,1.554508378,0.848578785,0.77598545,0.788888889,0.88540079,0.466170635,0.690200617,0.91025641,0.713689538,0.836423761,0.734906517,0.845975642,0.689149306,0.672989621,0.762896825,0.554722222,0.768310779,0.444275924,1.128402245,0.656051587,1.17269347,0.88903307,0.869444444,0.862847222,0.397569444,0.862847222,0.448967471,0.573958333,0.327224311
T1014,0.822546737,1.426072049,1.379064734,0.721116427,0.781041259,0.841298701,0.628955767,0.710064935,0.759120626,0.97527862,1.172489564,0.718385781,1.092750092,0.574431818,0.414335664,1.145037933,1.038421998,0.375,0.278448824,0.680738113,1.114554893,0.833383871,1.172758643,0.739364802,0.855732309,0.312612289,1.160665571,0.755344405,0.970932157,0.923360253,2.566817106,0.418456829,0.923246753,1.752413298,2.483133883,0.843820344,0.877997227,0.621054012,1.299643893,1.085177299,1.043106665,0.798504433,0.959642881,0.75,0.906966022,0.744063943,0.780618687,2.388414989,1.179569129,0.714636965,0.556732454,0.975520154,0.63517316,0.911559794,0.745776628,0.846780303,0.796992801,0.851393238,0.861111111,0.714646465,0.836156997,1.037141761,0.881363636,0.757406942,0.867837465,0.916666667,1.163519091,0.857142857,0.297520661,0.731285883,0.619523469,0.909090909,0.9,0.75,0.724042793,1.161090967,0.42731907,0.102272727,2.03503362,0.88492823,0.598305187,0.755847953,0.833333333,0.721590909,0.833333333,0.98517316,0.803609626,0.785030994,0.842087853,0.966868758,0.653231399,1.172534095,0.664115969,0.799561316,0.719328967,1.659992785,0.950691938,0.819213564,0.8,1.033716729,0.593526171,0.749158249,0.923076923,0.782165287,1.004998032,0.825062793,0.965074089,0.739299242,0.896166274,0.835497836,0.616363636,0.855736568,0.580068633,1.49699937,0.695454546,1.933473121,0.974772546,0.947831254,0.875,0.443181818,0.875,0.510815391,0.634848485,0.403964456
T1016,0.836298016,1.151749452,1.083566407,0.707054264,0.930217971,0.932740864,0.560125437,0.634920635,0.765113466,0.857242268,1.090678498,0.663837955,1.034489747,0.657803911,0.492285331,1.090819742,0.873281736,0.368459302,0.363148479,0.7155813,1.166392667,0.843934972,1.104222559,0.819489788,0.884598732,0.273784355,0.77778091,0.717619595,0.88912018,0.78081028,2.408435244,0.388336889,0.862608863,1.435346222,2.886006297,0.739410195,0.767148567,0.642178252,0.949044621,0.918928468,0.939509493,0.87363489,0.847685006,0.736918605,0.932113388,0.780816547,0.839470284,2.154820617,0.998576962,0.651381093,0.518817307,0.943570342,0.707385105,0.871416459,0.641585341,0.749588178,0.711275461,0.647890999,0.814082688,0.643927649,0.964372074,1.024868033,0.906959302,0.804021935,0.786752491,0.900678295,1.094722054,0.842192691,0.303382664,0.741607391,0.588793232,0.893234672,0.884302326,0.736918605,0.634123204,1.215093537,0.397880759,0.335755814,1.820143562,0.848015387,0.520058523,0.67249422,0.818798449,0.785973837,0.818798449,0.828211517,0.658814552,0.692152057,0.874931085,0.852570472,0.530377131,1.076457825,0.621522956,0.689476866,0.706638376,1.624003323,0.828450914,0.818229144,0.786046512,0.887154318,0.545287929,0.69042851,0.906976744,0.709917947,0.92256116,0.759586291,0.840584615,0.68689438,1.392104151,0.773726467,0.819215116,0.793904568,0.579021073,1.375332226,0.81108804,2.155975565,0.912082362,1.088044536,0.859738372,0.590116279,0.859738372,0.617592309,0.731443798,0.5428178
