,'_techniques_T1012','_techniques_T1037_001','_techniques_T1041','_techniques_T1053_005','_techniques_T1057','_techniques_T1059_001','_techniques_T1059_003','_techniques_T1059_005','_techniques_T1059_007','_techniques_T1083','_techniques_T1112','_techniques_T1119','_techniques_T1123','_techniques_T1195_002','_techniques_T1204_001','_techniques_T1204_002','_techniques_T1218_005','_techniques_T1218_010','_techniques_T1218_011','_techniques_T1497_001','_techniques_T1518_001','_techniques_T1547_001','_techniques_T1547_002','_techniques_T1559_001','_techniques_T1560_001','_techniques_T1566_001','_techniques_T1566_002','_techniques_T1566_003'
'_techniques_T1012'-1,2.549942258,1.063087808,0.066735199,0.021043864,0.096602335,1.33286E-05,0.008098411,0.016173733,0,0.021052159,3.662032773,0,0,0,0,0.023366484,0,0.141594426,0.281479147,0.338653842,0.355386018,1.436977066,0,0,0,0.018438445,0,0
'_techniques_T1012'-10,4.048799878,2.527165103,1.152565457,1.436737236,1.265292315,1.464106646,1.387220405,1.534112493,1.655214349,1.815898509,5.941386067,2.173272702,1.905992083,1.704162612,0.253205139,2.011152819,1.638192892,1.532289013,1.414608984,1.49414718,1.608073091,2.969429507,0,1.655965073,2.172701814,1.803536848,0.201001949,0
'_techniques_T1012'-11,2.555566936,0.457512228,0.068790683,0.021762416,0.098809308,0,0.008510472,0.016563057,0,0.021781839,3.658854195,0,0,0,0,0.0239343,0,0.14431083,0.281024218,0.356704104,0.353378313,1.37964847,0,0,0,0.01930914,0,0
'_techniques_T1012'-12,2.171756301,0.24803993,0.069132224,0.093277439,0.146241019,0.000492497,0.006508071,0.016484279,0,0.12879846,4.075351661,0.000500616,0.105014934,0,0,0.023683621,0,0.00342862,0.171947434,0.349533595,0.32589224,0.420570357,0,0,0,0.019373101,0,0
'_techniques_T1012'-13,3.552121758,0.457512228,0.7912969,0.362861941,0.379265892,0.000754113,0.044160072,0.433696967,0,1.76054513,4.251258451,1.82379273,1.242209584,0,0.16946627,1.623748239,0.028753531,0.216755272,0.530971555,0.856453335,0.569806378,2.428922911,0,0,1.752794706,1.650297534,0.123145648,0
'_techniques_T1012'-15,2.543255583,0.457512228,0.067740359,0.021762416,0.096953776,0,0.008894624,0.016448533,0,0.02300017,3.658854195,0,0,0,0,0.023744271,0,0.146483761,0.268561414,0.350014617,0.359926921,1.347254735,0,0,0,0.019197462,0,0
'_techniques_T1012'-16,2.555566936,0.457512228,0.069013903,0.021626769,0.098093561,0,0.008227934,0.016563057,0,0.02300017,3.658854195,0,0,0,0,0.023441799,0,0.152381716,0.267582349,0.351919429,0.359926921,1.34930623,0,0,0,0.018952911,0,0
'_techniques_T1012'-17,2.547466962,0.457512228,0.068212005,0.021509551,0.098261738,0,0.008894624,0.016786502,0,0.021304286,3.658854195,0,0,0,0,0.023961509,0,0.145009272,0.271335611,0.348747619,0.364160553,1.413969645,0,0,0,0.019373101,0,0
'_techniques_T1012'-18,2.583280486,0.457512228,0.068485811,0.021595891,0.097342953,0,0.008894624,0.016563057,0,0.02300017,3.662032773,0,0,0,0,0.024145214,0,0.14431083,0.269387294,0.350014617,0.354524784,1.413969645,0,0,0,0.019197462,0,0
'_techniques_T1012'-19,2.788454224,1.819067439,0.641964623,1.75204336,1.953359488,2.124417367,2.066473246,1.634998904,1.745655974,0.170806186,4.629774252,0.193469531,0.631725269,1.704162612,0.133886443,0.105721789,1.682541593,2.11929421,1.878860862,1.180315623,1.43274384,1.356724501,0,1.71881937,0.032267872,0.028954098,0.050246598,0
'_techniques_T1012'-2,1.601180308,1.83826053,0.138744071,0.433560572,0.218231029,1.095704972,0.836712318,0.627518705,1.680480783,0.048997563,4.642330633,0.178477908,0.630566671,1.698323821,0.047674763,0.083462501,1.633628179,0.791570527,0.633720214,0.663548256,1.136013186,0.44986054,0,1.707304328,0.031827121,0.028692192,0.051098402,0
'_techniques_T1012'-20,2.535710885,0.240679695,0.067887573,0.021626769,0.100145457,1.33286E-05,0.006085486,0.016484279,0,0.019365637,1.830811586,0,0,0,0,0.023744271,0,0,0.1785989,0.347871131,0.318183686,0.282751571,0,0,0,0.019197462,0,0
'_techniques_T1012'-21,3.682792093,1.802379946,0.784317238,1.62748187,1.848274212,1.897843307,1.926355116,1.482054627,1.580559399,1.734775688,4.56683109,1.82379273,1.242209584,1.617627692,0.169078638,1.623748239,1.599969187,2.017606821,1.828516075,1.249945991,1.430594492,2.511193024,0,1.697737992,1.752794706,1.651451792,0.123145648,0
'_techniques_T1012'-24,2.717395187,7.344053239,1.084055115,1.382458984,1.184227389,1.332417901,1.206170148,1.509195954,1.745655974,1.777560458,4.934301184,2.059038025,1.904655239,1.704162612,0.284892514,2.155418255,1.711835314,1.235748851,1.298955487,1.313357853,1.630214999,2.589571833,0,1.71881937,1.951354069,1.761786774,0.226806912,0
'_techniques_T1012'-25,1.578337781,0.457512228,0.741863461,0.410912565,0.379606418,0.001081501,0.041162711,0.41938131,0,1.525518176,4.019401999,1.570586744,1.365470335,0,0.160884128,1.533665314,0.028059001,0.101186642,0.451132098,0.824119035,0.545500382,1.104527342,0,0,1.714754168,1.665947859,0.120247197,0
'_techniques_T1012'-26,2.188604017,1.848979436,0.625619661,1.655779136,1.084434194,2.133510407,1.31958769,1.057758746,1.693185523,0.176386448,4.203691356,0.195636315,0.633062112,1.748271363,0.133242375,0.10467635,1.662837477,2.057104173,1.150809104,1.176824142,1.344568329,1.08424265,0,1.682759423,0.032159719,0.028880368,0.050896511,0
'_techniques_T1012'-27,3.682792093,0.457512228,0.743327896,0.361429989,0.399165459,0.000766597,0.045836941,0.434870981,0,1.619049937,4.251258451,1.650146289,1.716333911,0,0.172064409,1.603384056,0.029293721,0.223410433,0.570060622,0.908137137,0.55205179,2.60012421,0,0,1.799854459,1.689746428,0.124870615,0
'_techniques_T1012'-28,2.661415786,0.457512228,0.067348571,0.021237281,0.108350791,0,0.008894624,0.016093207,0,0.02300017,3.658854195,0,0,0,0,0.023528022,0,0.143207119,0.265954602,0.340099277,0.361447806,1.353922389,0,0,0,0.017990383,0,0
'_techniques_T1012'-29,1.686029748,3.393748451,0.711486049,1.767347586,2.076038783,2.183223789,2.131040358,1.687957603,1.73158583,1.404320288,4.906832421,1.849698667,1.914727138,1.930314977,0.193507545,1.85590917,1.723255451,2.091039921,1.882536024,1.236854887,1.437036466,2.035969747,0,1.914399322,1.859262014,1.712955812,0.171246261,0
'_techniques_T1012'-3,2.542984104,1.063087808,0.067964748,0.021360825,0.099658547,1.33286E-05,0.008260547,0.016653319,0,0.021298127,3.658854195,0,0,0,0,0.023882399,0,0.142334939,0.284552369,0.340712914,0.361447806,1.404678855,0,0,0,0.01930914,0,0
'_techniques_T1012'-31,1.982403857,0.834455739,0.069205522,0.075798412,0.157371463,0.000512221,0.007839834,0.016786502,0,0.036576063,3.892513329,0.000604497,0.10297035,0,0,0.024331397,0,0.024851831,0.194798981,0.352979894,0.365474733,0.298134022,0,0,0,0.019672159,0,0
'_techniques_T1012'-32,0.778977633,1.063087808,0.068212005,0.021577889,0.099658547,1.33286E-05,0.008260547,0.01661568,0,0.021298127,3.658854195,0,0,0,0,0.024125087,0,0.143667862,0.266360168,0.349533595,0.361447806,0.178629693,0,0,0,0.019505355,0,0
'_techniques_T1012'-33,2.910770275,2.948968064,2.546658925,2.154290696,2.300492969,2.212901641,2.187047067,2.20320388,1.686453545,1.869907531,5.265322111,2.07201324,1.906906605,1.724849806,3.445270351,2.097857132,1.739768449,2.135996407,2.037128702,1.824156447,1.678223527,1.784350841,0,1.729869935,2.015196857,2.875188949,4.329306907,4.284484161
'_techniques_T1012'-34,1.610303731,0.457512228,1.254110241,0.021360825,0.13191833,0.001706211,0.12413052,0.019083415,0,0.02344086,3.660443484,0.022482291,0,0,3.832181133,0.033714312,0,0.082196049,0.220945072,0.352979894,0.358827065,0.768916422,0,0,0,0.130332965,3.614924758,4.583233384
'_techniques_T1012'-35,1.28261936,0.457512228,0.208441765,0.143393313,0.068845438,0.000756655,0.008040626,0.272992389,0,1.15207601,4.228613871,1.621570634,1.261133342,0,0.125201655,1.436021293,0.028913807,0.041284077,0.137027206,0.39240471,0.221864913,0.861473779,0,0,1.785308251,1.622302885,0.112743482,0
'_techniques_T1012'-36,2.607115566,0.457512228,1.215505022,0.592855749,0.622136814,0.000755668,0.070679946,0.571941538,0,2.015393335,5.277968052,1.639463815,1.261133342,0,0.212805102,1.717335943,0.02885275,0.216240725,0.641457579,0.975405418,0.565916893,2.338547139,0,0,1.785308251,1.687153545,0.133735097,0
'_techniques_T1012'-37,2.661415786,0.457512228,0.067017945,0.024038021,0.108350791,0,0.008894624,0.01705745,0,0.02300017,3.658854195,0,0,0,0,0.023528022,0,0.146030072,0.266719974,0.342447132,0.354524784,1.369717602,0,0,0,0.018643931,0,0
'_techniques_T1012'-38,2.017478808,3.368503589,0.216401086,0.736471451,0.610219749,1.246443079,1.047134959,0.818562965,1.783453779,0.184104839,5.518424595,0.186932343,0.748110957,1.745935867,0.075778041,0.088621828,1.755780435,1.082939323,0.767072079,0.686417218,1.236096533,1.166921385,0,1.69353731,0.03218924,0.028691749,0.052794212,0
