,,T1001,T1003,T1005,T1007,T1008,T1010,T1011,T1012,T1014,T1016,T1018,T1021,T1025,T1027,T1029,T1030,T1033,T1036,T1037,T1039,T1040,T1041,T1046,T1047,T1048,T1049,T1052,T1053,T1055,T1056,T1057,T1059,T1068,T1069,T1070,T1071,T1072,T1074,T1078,T1080,T1082,T1083,T1087,T1090,T1091,T1092,T1095,T1098,T1102,T1104,T1105,T1106,T1110,T1111,T1112,T1113,T1114,T1115,T1119,T1120,T1123,T1124,T1125,T1127,T1129,T1132,T1133,T1134,T1135,T1136,T1137,T1140,T1176,T1185,T1187,T1189,T1190,T1195,T1197,T1199,T1200,T1201,T1202,T1203,T1204,T1205,T1207,T1210,T1213,T1216,T1217,T1218,T1219,T1220,T1221,T1222,T1480,T1482,T1484,T1485,T1486,T1491,T1497,T1505,T1518,T1528,T1530,T1534,T1539,T1542,T1543,T1546,T1547,T1548,T1550,T1552,T1553,T1554,T1555,T1556,T1557,T1558,T1559,T1560,T1562,T1563,T1564,T1565,T1566,T1567,T1568,T1569,T1570,T1571,T1572,T1573,T1574,T1583,T1584,T1585,T1586,T1587,T1588,T1589,T1590,T1591,T1592,T1594,T1595,T1598,T1601,T1606
T1001,4,0.533648172,0.449448257,0.401844661,0.43906521,0.367177729,0.107775742,0,0.179073651,0.307396065,0.436195679,0.383295302,0.536991071,0.432624005,0.343180205,0.446354204,0.20194505,0.448577419,0.417555387,0.126536564,0.501123272,0.338061844,0.450031023,0.386089768,0.359409595,0.353104278,0.446981107,0.460748034,0.326701401,0.39410365,0.386241987,0.279928719,0.578455556,0,0.281773215,0.384391845,0.571097215,0.284195509,0.341986607,0.353036387,0.474840046,0.457814399,0.425356491,0.354789071,0.412663607,0.358499969,0.164080354,0.442031855,0.184426664,0.456010503,0.340576209,0.517168501,0.409718243,0.3476996,0,0.217117134,0.42972385,0.335861502,0,0.523550496,0.314880128,0.367816092,0.483503025,0,0,0.278706307,0.39075166,0.408555727,0.214715581,0.490040629,0.233763741,0,0.505866948,0,0.293695769,0.381232003,0.342023074,0.277025892,0.309751003,0.214978335,0.349779087,0,0.284195509,0,0.47583776,0.459281882,0,0,0.3338207,0,0,0.367816092,0.417354922,0.286044152,0.349779087,0.41566714,0.43088747,0,0.387995381,0.284195509,0.458587726,0.438039972,0,0.366877663,0.287535754,0.358397504,0,0,0,0,0.197405384,0.36436818,0.295417876,0.273602755,0.318733297,0.260082948,0.360692233,0.363792108,0.500081997,0.336019272,0.456360074,0.4,0.290495844,0.440651317,0.4040211,0.319745757,0,0.405580073,0.285798963,0.49207346,0.298712057,0.368999376,0.332402474,0.476365295,0.4978994,0.267699031,0.54166671,0.484845464,0.358393281,0,0.335404867,0,0.228022775,0.293170923,0.371600092,0,0,0,0,0,0.457941008,0,0
T1003,2,0.404798288,0.690362766,0.483440792,0.39767635,0.262324933,0.148117623,0,0.266536667,0.318396469,0.437911546,0.365200455,0.629145956,0.538664096,0.486922491,0.380680487,0.049021259,0.496303894,0.526498932,0.190445123,0.447644972,0.307678826,0.413395746,0.362491735,0.411024782,0.357325435,0.41751211,0.410991682,0.424317541,0.507981944,0.478199611,0.33615919,0.710410847,0,0.39259181,0.512746658,0.574105379,0.390573635,0.414714231,0.42187792,0.395918444,0.527988088,0.557663349,0.39378503,0.355722261,0.524800178,0.225497794,0.425589838,0.044768749,0.449368154,0.468058375,0.5959801,0.585288561,0.405236709,0,0.321091368,0.481045404,0.28827935,0,0.603840903,0.453108019,0.535714286,0.556110629,0,0,0.392246412,0.344037035,0.443976238,0.297439615,0.426843074,0.184888074,0,0.625212823,0,0.417350493,0.555254201,0.404315152,0.254041715,0.425694888,0.301599137,0.084907312,0,0.390573635,0,0.679862277,0.487227686,0,0,0.358311176,0,0,0.089285714,0.602927281,0.370399329,0.509443872,0.600610589,0.614472894,0,0.547350627,0.390573635,0.667920739,0.650858599,0,0.519856843,0.240174288,0.440210307,0,0,0,0,0.276233306,0.449084869,0.358337251,0.381887331,0.38655159,0.369116578,0.451824667,0.421818731,0.728356034,0.475633789,0.449535524,0.564285714,0.406833124,0.635592445,0.479147888,0.363099318,0,0.529286706,0.40914172,0.436032009,0.429743695,0.324269118,0.393761115,0.444030107,0.522046669,0.380787093,0.533972055,0.581977523,0.349800315,0,0.28605553,0,0.313374706,0.203864851,0.348231218,0,0,0,0,0,0.273676616,0,0
T1005,2,0.268530191,0.399238342,0.566449275,0.123479993,0.099315255,0.032784928,0,0.170738695,0.180469471,0.278920695,0.228708593,0.381593874,0.426119038,0.290436494,0.382080216,0.049912555,0.283584575,0.365319841,0.044907207,0.449209997,0.248427478,0.301025724,0.182857949,0.201991913,0.240192295,0.250639669,0.410672463,0.2507037,0.306784504,0.302264536,0.195578052,0.355535668,0,0.086518819,0.371200227,0.3482529,0.086451081,0.342342204,0.325569677,0.400595509,0.342146093,0.427815644,0.227741974,0.185127406,0.34500914,0.049912555,0.276411053,0.045582727,0.307102903,0.103601854,0.409464952,0.371464046,0.300530873,0,0.192750403,0.324237446,0.291230339,0,0.442066563,0.318860311,0.515151515,0.392777324,0,0,0.237939075,0.231056791,0.284765145,0.06566966,0.309744955,0.064427036,0,0.413919927,0,0.299536624,0.533941414,0.23405988,0.078147173,0.094224955,0.066321136,0.086451081,0,0.086451081,0,0.481855742,0.375224346,0,0,0.252389403,0,0,0.090909091,0.348228785,0.161151585,0.489889461,0.479963646,0.462751743,0,0.352723074,0.086451081,0.642283377,0.508310636,0,0.319541468,0.079975459,0.240909548,0,0,0,0,0.060792683,0.287238777,0.231951116,0.264347586,0.233508192,0.260217041,0.352377751,0.280159623,0.700398934,0.36421087,0.320037837,0.363636364,0.089511319,0.391548715,0.364640723,0.200460581,0,0.359524937,0.259671762,0.370676883,0.251532532,0.132273123,0.186564265,0.331337928,0.281178104,0.217305232,0.344242237,0.355544381,0.206872623,0,0.287107331,0,0.069363571,0.079256266,0.263054178,0,0,0,0,0,0.274214091,0,0
T1007,0,0.218106718,0.243971831,0.147255572,0.515013258,0.25012519,0.117540039,0,0.116293912,0.200074054,0.254774781,0.225289203,0.374269231,0.171674263,0.229024184,0.11435329,0.073205081,0.341298406,0.246836271,0.138000561,0.124179881,0.143359339,0.22445338,0.266254088,0.257888377,0.202056131,0.280181488,0.115199918,0.22646535,0.260380261,0.227550679,0.189056148,0.452372918,0,0.318069472,0.195159913,0.348927855,0.309943136,0.136148428,0.143568169,0.121895142,0.282932075,0.202207334,0.222001007,0.276402836,0.19940598,0.178945753,0.24461534,0.066854666,0.243457374,0.371431831,0.279509717,0.253762226,0.16101248,0,0.144481625,0.228208937,0.093039491,0,0.240126058,0.164025065,0.059259259,0.236497304,0,0,0.174111871,0.211517566,0.253725738,0.238907224,0.225730118,0.173719085,0,0.304386721,0,0.142103592,0.061420712,0.216676095,0.224039622,0.337813914,0.246843007,0.126794919,0,0.309943136,0,0.228878285,0.204066216,0,0,0.166794016,0,0,0.133333333,0.310337045,0.319972504,0.056353297,0.161084488,0.188734124,0,0.224175109,0.309943136,0.073883578,0.174167801,0,0.235062077,0.218045745,0.253054807,0,0,0,0,0.225231031,0.232679868,0.178106009,0.151251613,0.193883909,0.130111537,0.145604807,0.200188895,0.080568766,0.15829682,0.221941161,0.231111111,0.33212082,0.268354309,0.180337002,0.214471298,0,0.222708202,0.174643657,0.190091472,0.204591818,0.298760093,0.262869997,0.216744863,0.312383239,0.18416912,0.317290647,0.333517669,0.222383823,0,0.08592873,0,0.248681248,0.198770476,0.166014878,0,0,0,0,0,0.147640868,0,0
T1008,0,0.429011163,0.387509907,0.289011996,0.581711491,0.672183568,0.142954102,0,0.148378746,0.325962427,0.460799944,0.4229612,0.558905529,0.323187786,0.30180469,0.371067302,0.267099619,0.510986732,0.367583795,0.16783852,0.41211776,0.335003338,0.4652842,0.468137653,0.399983645,0.362681198,0.519008461,0.369903356,0.31514928,0.374658614,0.357143897,0.281953689,0.64497108,0,0.374661871,0.301483382,0.622017584,0.376957868,0.249859293,0.274579367,0.41203036,0.452714517,0.314605181,0.372589558,0.5133342,0.273837681,0.217636727,0.469118088,0.243929186,0.471159095,0.451741416,0.482122547,0.339135464,0.297294175,0,0.18848981,0.399716883,0.283379116,0,0.450628218,0.232887189,0.144144144,0.427912216,0,0,0.239130358,0.433342207,0.423482572,0.285202986,0.506226298,0.30962349,0,0.463106223,0,0.210395287,0.149401731,0.341105451,0.372545134,0.41085476,0.286202862,0.479764559,0,0.376957868,0,0.338165451,0.407515591,0,0,0.315895089,0,0,0.486486487,0.386847991,0.359229802,0.137075588,0.254584206,0.288819607,0,0.314590849,0.376957868,0.179716811,0.265844547,0,0.314643446,0.381057925,0.370165398,0,0,0,0,0.262685675,0.34727041,0.273265559,0.213701852,0.303289582,0.19061049,0.272404964,0.341421921,0.19597808,0.231035224,0.451494895,0.324324324,0.386618062,0.36367948,0.327936161,0.341887396,0,0.33670027,0.236265898,0.460739431,0.266327212,0.485794369,0.377587959,0.472876037,0.539328236,0.242744337,0.589593703,0.48320428,0.392485385,0,0.278831874,0,0.302450167,0.395823146,0.357462774,0,0,0,0,0,0.49180271,0,0
T1010,999,0.123787585,0.13453976,0.095905535,0.191237387,0.149579727,0.161175485,0,0.056394185,0.116194325,0.148331224,0.131673986,0.219589149,0.097853938,0.111323845,0.090909091,0.066550073,0.186976702,0.131825124,0.064153153,0.10222454,0.086552255,0.13597545,0.15426002,0.12966279,0.118796894,0.165874468,0.092678465,0.118131093,0.137138456,0.117873709,0.097275557,0.235003095,0,0.142454755,0.099669305,0.209102575,0.144085135,0.074610205,0.079601834,0.099003359,0.154724913,0.105203964,0.114631245,0.166877693,0.08924304,0.083187592,0.144900389,0.060776969,0.146858716,0.172669756,0.152723599,0.124893512,0.086917981,0,0.064870069,0.122646823,0.067576421,0,0.132713841,0.07772563,0.060606061,0.129547985,0,0,0.081986705,0.131076072,0.145619768,0.108682258,0.140548014,0.097725296,0,0.16773868,0,0.072951228,0.062816637,0.109212609,0.120947237,0.157041592,0.108529698,0.115268108,0,0.144085135,0,0.116977309,0.120941235,0,0,0.092742481,0,0,0.121212121,0.155861492,0.203204011,0.057634054,0.089740714,0.101911512,0,0.105816922,0.144085135,0.07556275,0.090646242,0,0.115662235,0.121917777,0.130862252,0,0,0,0,0.099711752,0.121930819,0.092971163,0.07184116,0.097939082,0.0657088,0.08228538,0.103110752,0.082399875,0.090987777,0.131827546,0.109090909,0.14670751,0.122233853,0.102103506,0.114054796,0,0.105245695,0.079336606,0.128898551,0.091357909,0.183078296,0.139371327,0.133091885,0.169343763,0.084153444,0.19300968,0.183867292,0.130161211,0,0.068312007,0,0.115605952,0.117319959,0.101499722,0,0,0,0,0,0.114839912,0,0
T1011,999,0.544244056,0.738621923,0.606690963,0.585142711,0.357897671,0.240422808,0,0.352340832,0.447515045,0.582527669,0.49062502,0.846135551,0.680548316,0.691522244,0.427050983,0,0.702353233,0.692341161,0.282273874,0.506342791,0.366564847,0.512940314,0.515758114,0.601042196,0.479053719,0.565419113,0.466391196,0.59519289,0.704219096,0.666509683,0.474344743,1.040961823,0,0.672823424,0.668764524,0.771592438,0.633974596,0.523138085,0.528772325,0.439339828,0.703186593,0.716162675,0.548054639,0.493823966,0.716231639,0.366025404,0.56126711,0,0.584383665,0.759746927,0.775134625,0.811618023,0.529310621,0,0.439806151,0.655916581,0.309825957,0,0.802024725,0.620639565,0.666666667,0.739556295,0,0,0.563299316,0.443616818,0.582937303,0.498455341,0.54324097,0.260096789,0,0.835219966,0,0.574977254,0.690983006,0.576434678,0.380502523,0.690983006,0.530476654,0,0,0.633974596,0,0.930207769,0.608893095,0,0,0.470498498,0,0,0,0.847010115,0.571233043,0.633974596,0.77910809,0.834674553,0,0.775990762,0.633974596,0.831190253,0.823500926,0,0.73156547,0.350851251,0.630498902,0,0,0,0,0.481219516,0.608066268,0.481764714,0.488071664,0.547527675,0.511094521,0.572363228,0.570285907,0.90639862,0.632300068,0.591489411,0.8,0.710932818,0.89554621,0.625852799,0.513162859,0,0.72371792,0.601769076,0.510479927,0.653246534,0.463837366,0.590447349,0.570193416,0.733230401,0.569091025,0.700633154,0.794514996,0.483786779,0,0.320899808,0,0.50866619,0.269315539,0.446598775,0,0,0,0,0,0.253346438,0,0
T1012,1,0.171673349,0.281746934,0.185362763,0.212846306,0.138282705,0.080140936,0,0.567808119,0.155779374,0.195494064,0.167593459,0.299348355,0.202431126,0.220909021,0.133914343,0.020334745,0.246093806,0.332132064,0.445638664,0.15617378,0.12166621,0.204775547,0.181191172,0.190143346,0.161688666,0.197777283,0.1435596,0.209304196,0.227419196,0.205418914,0.171323674,0.358893219,0,0.206882869,0.25327565,0.262071806,0.211324865,0.22737021,0.15937989,0.139605633,0.266530668,0.309247995,0.1725973,0.181027519,0.204676166,0.122008468,0.190095581,0.018570741,0.196625662,0.253248976,0.24431231,0.247466997,0.161193661,0,0.58157516,0.218684108,0.119674584,0,0.240658116,0.177812822,0.175925926,0.22560301,0,0,0.166666667,0.154819372,0.204149293,0.15849815,0.178978523,0.126595469,0,0.274623138,0,0.164368234,0.182342738,0.176211829,0.135149286,0.230327669,0.156817607,0.035220811,0,0.211324865,0,0.265841719,0.194543372,0,0,0.147921767,0,0,0.037037037,0.374909634,0.245802761,0.167298852,0.222736793,0.236169789,0,0.226330639,0.211324865,0.219341872,0.233601748,0,0.224354968,0.127135103,0.315972382,0,0,0,0,0.144350639,0.32167418,0.31139921,0.474047079,0.194568437,0.146633403,0.268735145,0.172764417,0.239188525,0.192219607,0.188036034,0.233333333,0.212255898,0.258935791,0.190856324,0.231509048,0,0.255523772,0.166332113,0.174686523,0.17887772,0.192020801,0.19760272,0.18315918,0.238508364,0.16272804,0.242392506,0.307981191,0.166149175,0,0.100627533,0,0.169555397,0.107507854,0.142663498,0,0,0,0,0,0.099684893,0,0
T1014,2,0.285985761,0.361324417,0.275899512,0.350821763,0.246867458,0.120211404,0,0.161106965,0.463317206,0.319632587,0.273766492,0.464404904,0.307197271,0.315147557,0.224739632,0.066550073,0.385875433,0.341657595,0.141136937,0.257205222,0.2036727,0.291640648,0.295862942,0.303589029,0.257857521,0.32651029,0.236635819,0.292143894,0.344955814,0.314211868,0.235656932,0.534082255,0,0.324208776,0.308770747,0.431512672,0.316987298,0.23250733,0.246651275,0.236361348,0.36590344,0.325709873,0.278557929,0.30112529,0.31252346,0.183012702,0.309498818,0.060776969,0.31962583,0.379873464,0.394997812,0.368040706,0.249576268,0,0.193588669,0.316510405,0.169216741,0,0.373845842,0.265267403,0.242424243,0.352024316,0,0,0.247122758,0.259060251,0.319258211,0.243857449,0.302276822,0.168660784,0,0.418914182,0,0.240103491,0.251266548,0.279252279,0.224448371,0.345491503,0.251199619,0.115268108,0,0.316987298,0,0.389848235,0.311078859,0,0,0.235641437,0,0,0.121212121,0.406557605,0.334535401,0.230536217,0.320706293,0.34256603,0,0.33508692,0.316987298,0.302251001,0.348857721,0,0.331652624,0.217272506,0.310536141,0,0,0,0,0.229344052,0.302908014,0.235999328,0.224652602,0.258976014,0.214721046,0.25809991,0.277249428,0.329599498,0.275441081,0.306049782,0.345454545,0.338120257,0.393218947,0.29196916,0.262425067,0,0.324848073,0.255376314,0.287205771,0.279894756,0.300458656,0.301479365,0.302742652,0.382230025,0.248734873,0.396412225,0.4167157,0.266340475,0,0.168876569,0,0.254333095,0.192022674,0.23519082,0,0,0,0,0,0.198119285,0,0
T1016,1,0.334055632,0.358908921,0.271840269,0.43842807,0.343086783,0.125802632,0,0.149546687,0.302471332,0.499629379,0.32573799,0.491673297,0.303039572,0.297879859,0.279331889,0.151091882,0.42932775,0.338418177,0.147701446,0.310367681,0.250880263,0.35278021,0.355889584,0.333405553,0.294211814,0.39496421,0.285069222,0.291481691,0.345203633,0.320237112,0.24744165,0.561060944,0,0.335586324,0.294405987,0.494663814,0.331730893,0.230247974,0.250107862,0.299306411,0.388470044,0.308483252,0.307785578,0.377644782,0.285427772,0.191524921,0.364394304,0.137984921,0.369493316,0.397541997,0.417936778,0.342975768,0.259996878,0,0.184131912,0.340688721,0.213536201,0,0.390298631,0.24243092,0.189922481,0.371940026,0,0,0.23439448,0.321847649,0.353965684,0.253570526,0.374725458,0.223760749,0,0.423787185,0,0.218028035,0.19684981,0.29522802,0.278493919,0.361560875,0.258624487,0.261698816,0,0.331730893,0,0.352359373,0.341630147,0,0,0.260243143,0,0,0.275193799,0.384634208,0.333104299,0.180609042,0.281075662,0.306043536,0,0.313554407,0.331730893,0.236792572,0.300688336,0,0.312553468,0.280730998,0.323287125,0,0,0,0,0.23659361,0.31145833,0.24360321,0.211891408,0.268973728,0.196066425,0.253535204,0.29602706,0.258218212,0.245664194,0.355127086,0.323255814,0.348584586,0.366592502,0.296644741,0.285982057,0,0.317604856,0.237857391,0.351383966,0.264177636,0.369672694,0.32238752,0.361543818,0.43319023,0.237175902,0.460739965,0.429976254,0.311108145,0,0.209898942,0,0.266162541,0.273852953,0.279315319,0,0,0,0,0,0.31855405,0,0
T1018,1,0.293586406,0.305906279,0.231563888,0.39191221,0.310810529,0.108870706,0,0.1263197,0.267421192,0.322403888,0.463676778,0.427442931,0.256789615,0.251571484,0.248035812,0.145028934,0.377694494,0.288008348,0.127822132,0.273636248,0.221700799,0.310278062,0.315606138,0.28946594,0.259851602,0.347869302,0.251692477,0.250442184,0.295967022,0.274961823,0.21484567,0.482354375,0,0.292373146,0.248051151,0.428887857,0.287082836,0.195013343,0.212422111,0.266094107,0.334415821,0.259161098,0.268097386,0.337972274,0.237850194,0.165747353,0.321077773,0.132447923,0.323026784,0.344036344,0.357755412,0.288173565,0.223407841,0,0.155465658,0.295384712,0.188391646,0,0.334828235,0.202718882,0.150943396,0.320713606,0,0,0.197751253,0.285679202,0.30993383,0.22030198,0.332761313,0.201925545,0,0.363236753,0,0.181689852,0.156448982,0.255323032,0.249059111,0.312897965,0.226063615,0.251197481,0,0.287082836,0,0.292521389,0.29621142,0,0,0.226499883,0,0,0.264150944,0.326751533,0.296940472,0.143541418,0.23117619,0.25381735,0,0.263544032,0.287082836,0.18819402,0.245779948,0,0.263497456,0.252792231,0.279284131,0,0,0,0,0.206553921,0.268616626,0.209804466,0.17802561,0.231788964,0.163652106,0.214176848,0.255038149,0.205222329,0.204809245,0.31190196,0.271698113,0.304445425,0.307710482,0.253907525,0.249272133,0,0.268988046,0.201388265,0.310149624,0.225342342,0.333167936,0.281484369,0.319395926,0.37770277,0.201752007,0.400494846,0.371671932,0.275998089,0,0.186382066,0,0.230339407,0.249399836,0.246658003,0,0,0,0,0,0.293530477,0,0
